line_number,mode1,value1,mode2,value2,mode3,value3,mode4,value4
177,66,1,27,1,0,1,7,1
178,36,1,64,0,66,1,23,1
179,47,1,28,1,23,1,8,1
180,48,0,26,1,43,0,0,1
181,72,1,64,1,9,1,41,1
182,17,1,36,1,62,1,54,1
183,64,1,28,1,49,1,17,0
184,20,1,40,1,76,0,43,1
185,42,1,17,1,60,1,27,1
186,74,1,27,1,5,1,0,1
187,66,1,41,1,40,0,23,1
188,40,1,72,0,42,1,19,1
189,1,1,49,1,17,1,0,1
190,25,1,62,1,25,1,8,1
191,38,1,9,1,0,1,74,1
192,38,1,64,1,9,1,49,1
193,62,0,12,0,0,0,65,1
194,44,1,40,1,37,1,71,1
195,60,0,40,0,40,0,40,1
196,40,0,66,1,38,1,65,0
197,27,1,60,0,14,0,28,0
198,6,1,17,1,65,1,25,1
199,76,0,24,1,25,1,0,1
200,66,1,27,1,27,1,65,1
201,65,1,27,1,48,1,12,1
202,60,0,10,1,65,1,27,0
203,48,1,26,1,41,1,64,1
204,65,1,72,1,28,1,41,1
205,38,1,63,1,40,1,27,1
206,38,1,65,1,0,1,49,1
207,28,1,66,1,40,1,65,1
208,48,1,42,1,13,1,5,1
209,74,0,41,1,23,1,25,1
210,44,1,38,1,55,1,4,1
211,7,1,54,0,66,0,64,0
212,48,1,38,1,28,0,0,1
213,50,1,48,1,64,1,36,1
214,20,1,64,1,53,1,38,1
215,33,1,9,1,39,1,17,1
216,14,0,45,1,64,1,53,0
217,28,0,44,0,37,1,25,1
218,64,1,48,1,26,1,64,1
219,63,0,65,1,64,1,40,0
220,42,1,62,1,54,1,41,1
221,27,1,44,1,17,1,4,1
222,20,0,55,1,27,0,24,1
223,27,1,66,1,36,1,38,1
224,40,1,59,1,27,1,17,1
225,76,0,41,1,66,1,0,0
226,60,0,42,1,24,1,17,1
227,39,1,49,1,19,1,64,1
228,36,1,36,1,66,1,41,1
229,42,1,36,1,17,1,62,1
230,63,1,37,0,14,1,27,1
231,64,0,54,1,62,1,17,1
232,49,1,5,1,25,1,28,1
233,65,1,58,1,24,1,76,0
234,36,1,59,0,26,1,65,1
235,44,0,40,1,8,1,0,1
236,27,1,26,1,65,1,21,1
237,63,1,36,1,64,1,50,1
238,44,0,14,1,26,1,26,1
239,66,0,40,1,65,1,27,1
240,49,1,8,1,26,1,23,0
241,36,0,39,0,72,0,65,0
242,0,1,25,1,59,1,65,0
243,38,1,75,1,53,1,27,1
244,60,1,7,1,65,1,53,1
245,27,1,48,1,38,0,0,1
246,76,0,40,1,14,1,36,1
247,38,0,21,0,54,1,17,0
248,48,0,37,0,0,1,8,1
249,74,0,3,1,7,1,36,1
250,36,1,63,0,40,0,40,0
251,63,0,54,0,38,0,24,1
252,38,0,49,1,40,0,17,0
253,66,1,42,1,64,1,38,1
254,76,0,64,1,64,1,27,1
255,76,0,23,1,40,0,0,0
256,65,1,76,0,64,1,0,1
257,5,1,38,0,17,1,35,1
258,66,1,65,1,40,0,40,1
259,58,0,41,0,50,1,38,0
260,40,0,26,1,20,0,27,1
261,40,0,27,0,72,1,40,0
262,64,1,66,1,27,1,42,0
263,3,1,62,1,65,1,14,1
264,63,0,38,0,17,0,26,1
265,49,1,17,1,26,0,40,0
266,63,1,53,1,24,1,64,1
267,28,0,44,0,64,0,27,1
268,38,1,45,1,38,1,27,1
269,41,0,49,1,17,1,26,1
270,5,1,74,0,17,0,17,0
271,65,1,20,1,17,1,53,1
272,54,1,20,1,36,1,43,1
273,44,0,27,1,65,1,3,1
274,27,1,48,0,7,1,8,1
275,55,1,38,1,31,1,0,1
276,36,1,44,1,26,1,38,1
277,49,1,17,0,36,0,36,0
278,48,1,41,1,64,1,24,1
279,40,0,69,1,41,1,8,0
280,8,0,62,1,0,1,28,1
281,10,1,58,0,14,1,26,1
282,66,0,27,0,38,0,40,1
283,38,0,76,0,37,0,64,1
284,36,1,66,1,0,1,40,1
285,66,1,37,1,41,0,64,0
286,41,0,59,1,24,1,17,1
287,32,1,40,1,2,1,28,1
288,49,1,53,1,38,1,1,1
289,55,1,49,0,55,1,41,1
290,27,1,27,1,10,1,48,1
291,3,0,44,0,14,0,40,0
292,28,0,24,1,74,0,41,0
293,49,1,27,1,25,1,65,1
294,41,0,49,0,38,1,2,1
295,38,0,17,1,28,1,69,0
296,27,0,40,0,71,1,33,0
297,45,1,27,1,28,1,9,1
298,48,0,25,0,41,0,64,0
299,38,1,51,1,49,0,38,0
300,66,1,27,1,36,1,64,1
301,66,1,65,1,29,1,65,1
302,10,1,28,1,67,1,43,1
303,17,1,0,1,54,0,48,0
304,49,1,54,1,65,1,0,1
305,36,1,26,1,0,1,52,1
306,17,1,44,1,17,1,4,1
307,49,1,40,1,10,1,24,1
308,64,1,60,0,38,1,24,0
309,74,0,41,1,23,1,25,1
310,72,0,64,1,27,1,27,0
311,41,1,66,1,38,1,17,1
312,27,0,66,1,65,0,17,0
313,60,1,0,1,26,1,40,1
314,32,1,28,1,27,1,0,1
315,55,1,48,0,8,1,64,1
316,67,0,40,0,27,0,40,1
317,40,1,16,1,17,1,25,1
318,74,0,64,1,27,0,65,1
319,14,1,76,0,55,1,27,1
320,27,1,63,0,17,1,25,1
321,47,1,38,1,40,1,64,0
322,66,0,64,0,27,0,17,1
323,27,1,64,1,48,1,9,1
324,48,0,26,0,65,1,17,1
325,28,1,20,1,10,1,36,1
326,62,1,25,1,0,1,25,1
327,64,1,63,1,24,1,30,1
328,39,1,40,0,69,1,5,1
329,40,1,48,1,38,1,27,1
330,65,1,37,0,66,0,64,1
331,60,0,17,0,17,0,38,1
332,32,0,24,1,26,0,26,0
333,34,1,27,1,64,1,48,1
334,40,1,48,1,0,1,25,1
335,60,0,17,0,64,0,65,1
336,40,0,70,0,25,0,39,0
337,49,1,27,1,24,1,40,1
338,49,1,8,0,17,1,40,0
339,38,1,66,1,17,1,42,0
340,27,0,62,0,0,1,38,1
341,28,0,17,1,44,0,54,1
342,27,0,48,0,27,0,17,1
343,10,1,31,1,39,1,26,1
344,59,0,42,1,65,0,26,1
345,36,1,47,1,74,1,64,1
346,65,1,59,0,38,0,38,1
347,72,0,40,0,0,0,27,1
348,1,1,17,1,48,1,27,1
349,17,1,52,1,38,1,55,1
350,59,1,40,1,12,1,41,0
351,48,0,27,0,2,1,27,1
352,27,0,0,1,65,1,66,0
353,74,0,36,1,8,1,8,0
354,65,1,49,1,0,1,27,1
355,64,0,49,1,40,1,40,0
356,27,1,63,1,40,0,56,1
357,17,1,74,0,65,1,28,1
358,21,0,64,1,40,0,4,0
359,27,1,65,0,72,1,25,1
360,21,1,40,0,9,1,36,1
361,27,0,53,1,44,0,65,0
362,13,1,64,0,20,0,64,1
363,49,1,40,0,53,1,65,1
364,36,1,65,1,49,1,36,1
365,9,1,38,1,27,1,48,1
366,44,0,27,0,25,0,65,0
367,0,1,63,0,26,1,65,1
368,60,0,27,1,9,1,27,1
369,24,1,65,1,24,0,48,1
370,66,1,8,1,40,1,5,1
371,0,1,38,1,59,1,65,0
372,44,0,36,0,24,0,3,1
373,27,1,66,1,39,1,17,1
374,54,1,58,1,14,1,4,1
375,44,1,41,1,9,1,36,1
376,24,1,74,0,27,1,17,1
377,2,1,1,1,52,0,27,1
378,47,0,75,1,64,1,27,1
379,45,0,38,1,4,1,40,1
380,25,0,28,0,8,1,45,0
381,28,0,8,0,74,0,38,1
382,24,0,66,0,27,1,17,1
383,0,0,49,0,40,0,2,1
384,17,1,66,1,17,1,41,1
385,9,1,62,0,41,1,24,1
386,67,0,37,1,65,0,65,1
387,53,1,45,0,36,0,17,1
388,66,0,64,0,40,1,36,0
389,62,0,42,0,38,0,42,1
390,52,1,40,0,0,1,29,1
391,75,0,48,1,27,1,41,1
392,72,0,27,0,0,0,27,1
393,62,1,36,1,17,1,39,1
394,17,0,20,0,14,1,76,0
395,48,1,0,1,25,1,40,0
396,65,0,55,1,74,0,38,1
397,64,1,65,1,44,1,10,1
398,41,1,28,1,65,1,72,1
399,17,1,28,0,9,1,21,0
400,38,1,48,1,1,1,38,1
401,26,0,21,0,0,1,24,0
402,66,1,38,1,64,1,40,0
403,26,1,48,1,41,0,40,1
404,48,0,65,1,40,1,40,0
405,38,1,45,1,26,1,64,1
406,40,1,70,1,23,1,36,1
407,63,0,40,0,64,0,40,1
408,32,0,3,1,64,1,19,0
409,3,0,40,0,49,0,65,1
410,64,1,66,1,65,1,61,1
411,26,1,44,0,64,0,40,0
412,48,1,27,1,40,1,26,1
413,24,0,17,1,66,0,17,1
414,27,0,62,1,40,0,8,0
415,0,1,48,1,36,1,9,1
416,21,0,36,1,2,1,38,1
417,36,1,28,1,72,1,17,1
418,66,1,27,1,64,1,65,1
419,66,1,10,1,65,1,38,1
420,64,1,40,1,74,1,4,1
421,48,0,0,1,64,0,26,1
422,33,0,65,0,54,0,53,0
423,27,0,48,0,41,1,34,0
424,26,0,49,0,36,0,38,1
425,65,1,64,1,39,1,66,1
426,66,0,40,0,0,1,53,0
427,28,1,65,1,66,1,64,1
428,48,0,9,1,64,0,28,0
